iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
53,575,0.24157390862962808,0.5329179918433699,575,442,14188,1,442,1,343,40,2.4573820992244556e-11,2.9893859569656294e-15,3.8699582149389033e-14
54,256,0.37112071830687016,0.5983882574304402,1,256,5700,1,256,1,180,40,7.695415159317829e-12,8.751123706761622e-13,2.2201436477906985e-11
55,269,0.2594814632957552,0.9240205901766213,134,201,2644,1,201,1,127,40,1.0014202576444218e-11,1.1609406398649236e-10,1.0692427209529456e-07
56,758,0.17472369995258144,0.6480145089756641,430,371,1424,1,371,1,439,40,4.661953007202792e-09,4.5515980185205346e-11,0.40392281524448315
57,715,10.0,0.7881917315838107,1,1,66774,1,1,1,715,40,3.4955932522007496e-08,9.034746045426306e-08,4.990439045887123
58,69,0.0,0.0,69,42,870,1,42,1,35,40,0.00011215850318101554,2.1305919702236786e-14,3.1143162097163234e-12
59,33,0.2490291799616564,0.46773958665275084,32,25,1656,1,25,1,17,40,5.060359158058225e-09,0.49509202720290685,7.19564221193244e-10
60,511,0.2058500815221836,0.42993653865896314,511,340,6712,1,340,1,277,40,1.934081514646501e-10,0.0047569117906239924,8.331652923839403e-09
61,433,0.24003052221239743,0.9248763366615023,433,355,43300,1,355,1,319,40,4.5051789853650923e-14,1.2282703255526562e-14,10.0
62,674,0.2612774833594604,0.0,387,573,32628,1,573,1,347,40,10.0,1e-15,1.7834162013492429e-06
63,236,0.2588125849397447,0.0,106,204,23600,1,204,1,120,40,10.0,1.0425856190558864e-09,2.2841556022935947e-10
64,464,6.4361673625281135,0.10408248288564172,11,4,30760,1,4,1,285,40,0.0022709441872609897,0.0015632722096446466,7.463365755525012e-05
65,309,8.384162580198208,0.319471800913765,308,309,12932,1,309,1,102,40,7.378070191529611e-05,1.0570460431550529e-05,4.262994247129578e-07
66,205,3.3582233383900615,0.5493681827265733,44,205,4552,1,205,1,187,40,5.304463540371121,3.988123733700695e-13,9.437763052434572e-15
67,727,9.209842016079225,0.4160873817067373,297,1,1016,1,1,1,95,40,5.669951188021538,3.160077936646683e-08,2.6964923932289682e-12
68,909,7.457420018463749,0.6146715579319184,768,1,2152,1,1,1,681,40,1.3722611342067374e-15,4.424764738585996e-07,7.19292902306212
69,987,6.689892848960922,0.6876671399995483,654,987,4190,1,987,1,331,40,6.340643754824072e-15,1.9844350642460986e-08,3.528131044064403e-06
70,755,0.25123767036222167,0.5671312284510354,212,520,53896,1,520,1,755,40,10.0,1.4178799544933055e-11,0.25441239864670595
71,84,0.27561799053235864,0.09569475909653219,80,56,236,1,56,1,72,40,10.0,0.0614055399016404,0.07724231583727746
72,643,0.23420786767808827,0.7070473682421067,395,643,39238,1,643,1,507,40,10.0,1.0821215305963262e-15,3.637467213817337e-13
73,964,6.186820138651584,0.6285823952171641,523,964,27424,1,964,1,659,40,1.443093548608659e-13,3.1560781650495146e-07,0.0006378268442999209
74,85,4.087120120440205,0.036565033667603344,41,1,212,1,1,1,26,40,8.250516756037313e-09,1.3408216991481676e-08,6.880382243093344e-05
75,314,8.191636967950979,0.5716695056112804,210,1,7440,1,1,1,271,40,1.4004629696473898e-15,2.4531332118704933e-05,9.114561668379137e-09
76,171,0.12098447986627303,0.6305388069914146,159,84,11490,1,84,1,158,40,10.0,9.407523033579984,0.0017037515470231725
77,264,0.26548869948176573,0.8675757795874014,18,189,472,1,189,1,126,40,10.0,1e-15,0.7211843056240036
78,284,0.22485830638871304,0.7652928891915718,196,210,15072,1,210,1,237,40,10.0,1.3163517328263228e-07,10.0
79,893,0.1754638210089458,0.0,271,415,89300,1,415,1,22,40,2.452361289068653e-07,5.5914365768681233e-11,2.917276874141448e-11
80,1000,0.1749225495798497,0.0,106,347,100000,1,347,1,279,40,0.015512896808942609,9.471041129952036,1.5518890419874336e-13
81,1000,0.17511525284409177,0.0,415,555,100000,1,555,1,851,40,0.0010828046913217825,1.4839869738835841e-08,0.0337083256666596
82,1000,0.18673269696965888,0.0,475,500,65194,1,500,1,811,40,0.0006886670812861341,8.9111544025241e-11,4.751790868068633e-11
83,1000,0.16953654556723063,0.0,365,578,100000,1,578,1,476,40,0.723846533005995,0.03340321547094786,6.364260641473823e-13
84,1000,0.1780091635390525,0.0,439,669,100000,1,669,1,150,40,1.4609837452430376e-15,0.0003161865894158235,4.2983667737955536e-07
85,1000,0.17608015783621134,0.0,399,589,100000,1,589,1,984,40,1.8254560521102846e-09,1.0763482317929868e-10,8.623488115622701e-07
86,1000,0.17552302358691546,0.0,379,635,100000,1,635,1,885,40,8.275991474520605e-07,9.9459221161254e-09,1.7939570954276174e-10
87,1000,0.18827410228606412,0.0,456,404,100000,1,404,1,485,40,5.028368289999522,3.185438507248222e-15,3.5124030178143187e-06
88,1000,0.18939663163461962,0.0,533,636,100000,1,636,1,748,40,2.1939036121665867e-08,6.617161144253942e-09,0.0006806927838347069
89,1000,0.16902635208210254,0.0,298,518,100000,1,518,1,253,40,6.868594521091194,1.1129767686945251e-10,8.981171350630072e-14
90,1000,0.17233604093238186,0.0,380,482,100000,1,482,1,365,40,4.843959480100541,3.964202330500935e-07,5.152391237246297e-14
91,1000,0.19881978067434847,0.0,552,645,100000,1,645,1,341,40,2.139411140875683,0.0013254501834700446,2.5876268577384894e-14
92,1000,0.18196982734457992,0.9147940752548035,323,455,100000,1,455,1,944,40,4.779901668633989e-09,0.009302098223450187,3.2727879431588385e-08
93,1000,0.1945027306995752,0.4294584352963614,348,334,100000,1,334,1,195,40,0.00022972781629434976,1.9177305604634576e-14,1.1248989927974844e-15
94,1000,0.19627903818221978,0.968324827082308,279,104,100000,1,104,1,490,40,1.041592012731721e-06,3.767353320421434e-05,0.002427206302683481
95,1000,0.19810075402042604,0.5135604814972422,348,416,100000,1,416,1,433,40,1.6190894093017163e-15,1.1727645266320162e-12,1.1959745816001641e-13
96,1000,0.1799998411556322,0.4836544216996578,312,467,100000,1,467,1,878,40,0.011099509094424687,0.22935834643785336,1.074257057348896e-06
97,1000,0.1787494812047205,0.09980740976471265,273,503,100000,1,503,1,624,40,8.644513421691623e-14,0.0004521322675522772,6.166580610057696e-10
98,1000,0.18607413485076185,0.8295716077337957,378,366,100000,1,366,1,803,40,4.712275770513789e-10,3.180784244662337e-05,5.762059713881416e-07
99,1000,0.18696978043716317,0.43623490780228447,390,353,100000,1,353,1,3,40,0.0010486684006566498,7.664995346221836e-15,7.564820641308804e-09
