iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
65,427,10.0,0.1487476033709542,184,13,4114,1,13,1,294,40,3.340740126959952e-05,0.0013463537821355614,0.17145159738948657
66,415,6.976002006859144,0.13950211470858354,180,272,3826,1,272,1,257,40,0.0001840822475375794,10.0,0.21656070583404574
67,409,4.308987764466641,0.33631705133409523,58,316,3686,1,316,1,307,40,0.5158226577353074,0.19133421954576724,0.18828984303875845
68,408,7.164582780526426,0.29649628535346084,26,333,3862,1,333,1,261,40,9.532853002024638e-07,2.309397870033777e-08,0.17376870162035846
69,404,6.498134231681641,0.2688639112779814,31,346,3828,1,346,1,364,40,2.677291085948062e-12,1.1835122827625656e-07,0.17354329253672524
70,415,1.5667702518862092,0.32270100442515554,1,322,3728,1,322,1,402,40,9.132448067869715e-12,10.0,0.1678281093596145
71,405,10.0,0.3336203337518656,66,363,3638,1,363,1,292,40,7.866469081963455e-15,1.8389849005878587e-05,0.20218662065922674
72,440,2.2671929381894596,0.20842228734203758,1,301,3736,1,301,1,352,40,10.0,2.2024307232111404,0.14812833838010356
73,458,6.882687403964112,0.6359086671432554,1,197,2796,1,197,1,371,40,0.03859975110015603,1.393889835276714,0.13740661887524816
74,405,8.632284503468073,0.013784850642516229,1,405,4780,1,405,1,168,40,0.3530985511729773,1.3857427692229368e-12,0.1416416549269566
75,415,6.830930711305827,0.4589291871828393,1,415,3510,1,415,1,215,40,1.6315223839107677e-14,10.0,0.1611594125717277
76,421,8.685002222100263,0.45662007747488675,138,235,3170,1,235,1,207,40,0.25388027121520995,7.168860715541488e-07,0.14853617883510456
77,1,9.11952348237898,0.04414343716597887,1,1,100,1,1,1,1,40,1.5514818291479211e-15,10.0,0.45318691682406503
78,1000,8.185735391780911,0.6707536202144339,1000,903,100000,1,903,1,1000,40,1.448925284459726e-09,1e-15,1e-15
