iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
57,1000,9.541614365293249,0.5553925223440697,1,715,3614,1,715,1,0,2652,8.971732580845558e-14,9.75773387560503e-07,3.534514107146509e-05
58,914,9.863899512847333,0.22591972485005282,1,76,3578,1,76,1,914,7916,10.0,0.0030251024054207716,6.061009349842291e-08
59,958,2.6541286287362986,0.8407655870395406,21,894,2898,1,894,1,602,9123,0.0002082425418084376,4.260954799688664e-11,0.01851722992746673
60,1000,4.438898046411098,0.5916702648634085,1,778,3316,1,778,1,0,4601,0.001806519118441216,10.0,2.8553403026941362e-05
61,1000,1.6729528860142104,0.5772013418431775,1,368,3454,1,368,1,0,9825,2.1729455233188743e-12,2.398375100895432e-11,3.01549037248646e-05
62,962,9.740146309904528,0.8196275417299287,20,882,3578,1,882,1,0,8660,0.2265447970565988,4.911291337240231e-10,0.021594498351435357
63,1000,7.14353069091655,0.605284371639199,1,91,3176,1,91,1,349,10000,6.731307652634732e-08,8.094506558450226,2.987600821100295e-05
64,971,9.421837583492533,0.8098573737576977,18,434,3788,1,434,1,832,9815,0.20984639824467458,10.0,0.01871127138090099
65,1000,8.509164331760426,0.5564008661330897,1,779,3122,1,779,1,594,10000,0.0034046438418359293,10.0,3.440394977842154e-05
66,905,1.9177302096561895,0.22699234427439627,1,723,5724,1,723,1,68,2202,0.710997895212986,10.0,2.3427854379549e-08
67,1000,6.329347947450214,0.5708489130813205,1,816,2828,1,816,1,77,8975,2.2176671162424773e-06,10.0,9.60096742892779e-06
68,1000,2.8297811764808167,0.5794591435305981,1,416,3606,1,416,1,759,1594,1.6874629057799293,10.0,1.3963959627188016e-05
69,1000,4.781326721547067,0.587294014332057,1,467,2238,1,467,1,801,3745,0.0001735488239565457,10.0,1.4217078326165667e-05
70,1000,5.304501228646488,0.4938185938222975,1,1,2910,1,1,1,522,3155,10.0,10.0,1.804208758040848e-06
71,1000,1.9563447762925863,0.49187214111181987,1,237,3036,1,237,1,380,8815,0.0031090134602208075,10.0,1.752432659611857e-06
72,1000,6.704489783743247,0.5029685338228301,1,83,3376,1,83,1,220,6988,6.153711942595741e-08,0.00046795181361434406,1.3146717782359493e-06
73,1000,4.6324736818458865,0.44039821157981107,1,909,2404,1,909,1,276,5223,1.3185691302336182,10.0,1.1378339670880883e-06
74,1000,3.709826337389624,0.48966527689593425,1,869,2706,1,869,1,330,7568,0.0006648772349852508,10.0,3.655428340627597e-06
75,1000,3.0099726889612737,0.31797083904656553,1,769,3136,1,769,1,885,1,9.472900462705067e-13,0.2816595027094734,2.755769845080103e-07
76,1000,7.26874366136588,0.4773145706616315,1,836,2908,11,836,11,226,7968,1.227732357364138e-07,10.0,1.8883357106314287e-06
77,1000,0.5754058679487933,0.0,1,176,1912,1,176,1,185,1,0.4389894351231157,1e-15,2.4302863994204795e-13
78,852,7.594233628784877,0.8700335671079267,81,489,3414,1,489,1,283,7824,3.52226522717938e-05,10.0,0.03145627011727448
79,843,0.0,0.2767163872473306,1,140,3784,1,140,1,602,2636,3.676429350131336e-08,10.0,1.207300454285644e-08
80,935,4.48565504012764,0.8165540118336287,43,71,3592,1,71,1,492,7071,2.3354199099749216e-14,10.0,0.006827505198202543
81,1,6.161428309327949,0.0,1,1,2,100,1,100,1,6909,10.0,0.00011172415431571375,10.0
